FishEc,"Site",Year,SLF,Coupler,Fixed,Input,Output,Diagonal,Gape,Buccal_length,Neuro_Outlever,Jaw_Outlever,Jaw_Inlever,Jaw_prot,Spine_length_dorsal_1,Spine_length_dorsal_2,Spine_width_dorsal_2,Spine_length_pelvic,Pelvic_length,Pelvic_height,Epax_height_closed,Epax_height_open,EpaxWidth,Head_length,Plate_count,Raker_1_length,Raker_2_length,Spacing_1,Spacing_2,Raker_count
185213,"ERL006",2019,36,6.10997295925029,6.74328895688812,3.41634607866064,0.704381377105887,5.97707825278015,3.36244868729687,11.1089809471602,11.9995152213332,2.81315970349318,0.655962733907555,1.54752085345995,2.71858279947578,3.04667512401888,0.576808308806227,4.23606742357979,0.866918757934068,3.96496668089837,1.38904379778722,1.78082191780822,3.58582413602114,8.709786826558,23,1.03338433206344,1.01572092318858,0.107569077527071,0.124934905999856,12
185217,"ERL006",2019,36,6.10179860317252,6.47210643827272,3.32950101049074,0.620289140834727,5.77098469462873,2.86128899677758,10.1568005505592,11.1413869664418,3.02458637024158,0.648172790176861,1.30676971098104,2.6843975037426,3.16150528411858,0.411307698450695,4.98428835372952,1.19022909626026,4.10909392500016,1.62934330638952,1.66945115829931,3.88145312527029,8.41207435377169,24,0.86054055893524,0.905004049433869,0.0962161993813674,0.110439969902822,11
185219,"ERL006",2019,44,7.32881833294105,8.19267416212896,4.53350157352683,0.84110035249363,6.93936692255098,3.93236590299605,12.8407103823167,14.0309552422606,3.22942118551757,0.928480175497564,1.49766816938225,3.18904580331997,3.39112348953832,0.765776704623216,5.42868606467678,1.54945979969071,5.62066329563557,1.91903092138656,2.27545751154478,4.90734185973978,10.4246935358405,24,1.17214700692885,1.22701288254227,0.162508534140946,0.143704166863611,11
185220,"ERL006",2019,33,5.90435435441081,6.42280632687141,3.56465181482988,0.831269135803544,5.6047981929794,2.96910526899686,10.4075585614208,11.1540066983323,2.81399226278176,0.772760371219751,1.29830426536977,2.14193911876278,2.51921212452503,0.534955190512585,2.01493796688939,1.11572921543243,4.24491976272091,1.00717036861615,1.19735621271792,3.27893979156281,8.39736884984527,12,0.958531096767517,0.992635424600414,0.0987651399169352,0.100012842854444,13
185221,"ERL006",2019,34,6.00433008199362,6.61091973261022,3.38691531429689,0.621289888791702,5.82193392423233,3.2479911368753,10.5468599334942,11.4405542962138,2.81605988608937,0.661659434286757,1.46684122993765,2.47035339572977,2.80581253373765,0.351123441588392,4.36313735013271,1.19248916125043,4.47953583768155,1.207423712297,1.30201858380323,3.6439386122018,8.58943434899697,22,0.86795889137652,0.899050877210507,0.0918894266109409,0.10056552856473,13
185222,"ERL006",2019,40,7.03507017893875,7.64930819954945,4.01652619089516,0.698495823779834,6.71283196324662,3.35258405616191,11.9221374596297,12.836661702151,3.16702137580737,0.773457217177704,1.47347855446848,2.69623007104072,3.27981366953777,0.698495823779834,4.53350157352683,0.726027397260274,4.57700322578045,1.53479686804435,1.58957241943778,4.13589752523871,9.53878218364414,18,1.03241081401498,0.99834155536865,0.120756469688819,0.100864602764127,12
185223,"ERL006",2019,36,6.41569898527776,6.78906376105983,3.59220293644074,0.727963301675968,6.17994990448287,3.13003956564322,10.9903060374483,11.7805829857899,2.62563827588438,0.700105881598939,1.38356164383562,2.4042949622167,2.80022249337174,0.421997857554777,4.67444552682978,1.207423712297,4.63258831113873,1.5489147163898,1.70309840941624,3.69634632686611,8.72009002107233,17,0.894793717591501,0.965161384396284,0.113617442975478,0.113176819653024,12
185225,"ERL006",2019,36,5.96934822721193,6.31508116435808,3.26762676809531,0.656862545613875,5.69991448376745,3.03049491309214,10.3180060944658,11.0714766086266,2.94982116813897,0.707703635785725,1.24567180863663,2.49454273947687,2.8305493738722,0.475522053635884,3.84970504532627,1.08253852603454,3.94558597860706,1.36796462046047,1.6656655528373,3.77070813241407,8.21928082127569,19,0.869390923338712,0.829408528251753,0.100423865734972,0.098320515037148,12
185229,"ERL006",2019,38,6.65054032544567,7.31472217126938,3.37500999074159,0.742511245636584,6.1784618538994,3.11790572108419,11.552226249481,12.5323900114668,3.39560277727749,0.760859949424593,1.42886628059236,2.49315068493151,2.78496890325208,0.405673777944133,4.69912933168333,1.28796266011432,4.5913917512611,1.81075994181949,1.38688059803538,4.43970890935992,9.26063872184302,23,0.934097466396671,0.923945340727809,0.104003542832516,0.109261082008412,11
185232,"ERL006",2019,45,7.30253916463849,7.84424517708355,4.16161137000692,0.796407772808144,6.85095870689664,3.54191056048357,12.5808326571478,13.388888607713,3.41996939385532,0.934925234561729,1.50217206845625,3.16201061474995,3.38788476524599,0.565804833645572,5.69251845606826,1.52054794520548,5.07570756455844,1.75534997037165,1.7474749227792,4.75871167819394,9.48287609393627,22,1.02752346100379,1.00750208610475,0.150983055536395,0.14100692600462,11
185233,"ERL006",2019,42,6.87802015206359,7.72844670861376,4.06996823359781,0.736458164829764,6.5624437390693,3.68487094259069,12.3277751448359,13.38380676573,2.95092711341867,0.813464774135076,1.61364732569118,3.07995072652944,3.58937493017618,0.575206458047295,5.39827271120705,1.12208463225225,5.03570503278084,1.65900021777871,1.87414500683995,4.5169142722733,9.75289555283339,21,1.01690117672063,0.971810626899205,0.146597996666648,0.12821576983447,12
185234,"ERL006",2019,39,6.42584035611136,7.06866570884201,3.65034437744373,0.695534371221156,6.09655221896186,3.15571367596203,11.032849838897,11.9631714208539,2.89751124273297,0.75838961839268,1.22194545088212,2.57100333960595,2.92881709915458,0.453918945911805,4.61261579067142,1.17816183228737,4.63469419888008,1.20579074436523,1.63013698630137,3.93522806088308,9.16663567552493,20,0.911836607766965,0.763148939133126,0.11590208817736,0.114484445689804,11
185236,"ERL006",2019,36,5.98020127428131,6.69861613019238,3.70065900720854,0.748301385410831,5.75635932982788,3.32902079195813,10.2789942065867,11.2773676207756,2.49194611876146,0.638567781962009,1.36609069632285,2.68776060063953,2.91947987357679,0.508328090829575,4.60292318616762,1.30165822327937,4.21920032016911,1.23318108875911,1.57540202388905,3.78082191780822,8.8882155298426,19,0.881287625488065,0.896385997521625,0.133622732256955,0.122045104735146,12
